Gizmo.Menu;Edit Mode
ezAnimatedMeshComponent;Animated Mesh
ezMotionMatchingComponent;Motion Matching
Scene.Utils.Menu;Utilities
Scene.ExportSceneToOBJ;Export Scene Geometry to OBJ...
Scene.KeepSimulationChanges;Keep Simulation Changes;Only possible during simulation. Synchronizes the position of selected objects back to the editor.
Scene.FavouriteCams.Menu;Favourite Cameras
Scene.Camera.Store.0;Save Favourite Position 0;Saves the current position as a favourite user position
Scene.Camera.Store.1;Save Favourite Position 1;Saves the current position as a favourite user position
Scene.Camera.Store.2;Save Favourite Position 2;Saves the current position as a favourite user position
Scene.Camera.Store.3;Save Favourite Position 3;Saves the current position as a favourite user position
Scene.Camera.Store.4;Save Favourite Position 4;Saves the current position as a favourite user position
Scene.Camera.Store.5;Save Favourite Position 5;Saves the current position as a favourite user position
Scene.Camera.Store.6;Save Favourite Position 6;Saves the current position as a favourite user position
Scene.Camera.Store.7;Save Favourite Position 7;Saves the current position as a favourite user position
Scene.Camera.Store.8;Save Favourite Position 8;Saves the current position as a favourite user position
Scene.Camera.Store.9;Save Favourite Position 9;Saves the current position as a favourite user position
Scene.Camera.Restore.0;Go to Favourite Position 0;Moves the editor camera to a previously saved favourite position
Scene.Camera.Restore.1;Go to Favourite Position 1;Moves the editor camera to a previously saved favourite position
Scene.Camera.Restore.2;Go to Favourite Position 2;Moves the editor camera to a previously saved favourite position
Scene.Camera.Restore.3;Go to Favourite Position 3;Moves the editor camera to a previously saved favourite position
Scene.Camera.Restore.4;Go to Favourite Position 4;Moves the editor camera to a previously saved favourite position
Scene.Camera.Restore.5;Go to Favourite Position 5;Moves the editor camera to a previously saved favourite position
Scene.Camera.Restore.6;Go to Favourite Position 6;Moves the editor camera to a previously saved favourite position
Scene.Camera.Restore.7;Go to Favourite Position 7;Moves the editor camera to a previously saved favourite position
Scene.Camera.Restore.8;Go to Favourite Position 8;Moves the editor camera to a previously saved favourite position
Scene.Camera.Restore.9;Go to Favourite Position 9;Moves the editor camera to a previously saved favourite position
Scene.Camera.JumpTo.0;Jump to Level Camera 0;Moves the editor camera to a camera position that is stored in the level file
Scene.Camera.JumpTo.1;Jump to Level Camera 1;Moves the editor camera to a camera position that is stored in the level file
Scene.Camera.JumpTo.2;Jump to Level Camera 2;Moves the editor camera to a camera position that is stored in the level file
Scene.Camera.JumpTo.3;Jump to Level Camera 3;Moves the editor camera to a camera position that is stored in the level file
Scene.Camera.JumpTo.4;Jump to Level Camera 4;Moves the editor camera to a camera position that is stored in the level file
Scene.Camera.JumpTo.5;Jump to Level Camera 5;Moves the editor camera to a camera position that is stored in the level file
Scene.Camera.JumpTo.6;Jump to Level Camera 6;Moves the editor camera to a camera position that is stored in the level file
Scene.Camera.JumpTo.7;Jump to Level Camera 7;Moves the editor camera to a camera position that is stored in the level file
Scene.Camera.JumpTo.8;Jump to Level Camera 8;Moves the editor camera to a camera position that is stored in the level file
Scene.Camera.JumpTo.9;Jump to Level Camera 9;Moves the editor camera to a camera position that is stored in the level file
Scene.Camera.Create.0;Create Level Camera 0;Creates a camera node at the current editor camera position and configures its shortcut
Scene.Camera.Create.1;Create Level Camera 1;Creates a camera node at the current editor camera position and configures its shortcut
Scene.Camera.Create.2;Create Level Camera 2;Creates a camera node at the current editor camera position and configures its shortcut
Scene.Camera.Create.3;Create Level Camera 3;Creates a camera node at the current editor camera position and configures its shortcut
Scene.Camera.Create.4;Create Level Camera 4;Creates a camera node at the current editor camera position and configures its shortcut
Scene.Camera.Create.5;Create Level Camera 5;Creates a camera node at the current editor camera position and configures its shortcut
Scene.Camera.Create.6;Create Level Camera 6;Creates a camera node at the current editor camera position and configures its shortcut
Scene.Camera.Create.7;Create Level Camera 7;Creates a camera node at the current editor camera position and configures its shortcut
Scene.Camera.Create.8;Create Level Camera 8;Creates a camera node at the current editor camera position and configures its shortcut
Scene.Camera.Create.9;Create Level Camera 9;Creates a camera node at the current editor camera position and configures its shortcut
ezCameraUsageHint::Thumbnail;Thumbnail
EditorShortcut;Editor Shortcut;Press ALT+Number to jump to this camera.
Scene.CreateThumbnail;Create Scene Thumbnail
Scene.GameMode.PlayFromHere;Play From Here
Scene.GameObject.CreateEmptyHere;Create Empty Object Here
ezPlayerStartPointComponent;Player Start Point
